x_m,y_m
9.674704,2.938026
9.585204,2.984553
9.494630,3.028927
9.403103,3.071130
9.310746,3.111147
9.217681,3.148958
9.124019,3.184553
9.029805,3.217957
8.935061,3.249206
8.839809,3.278340
8.744069,3.305395
8.647863,3.330409
8.551212,3.353420
8.454137,3.374465
8.356661,3.393583
8.258804,3.410810
8.160587,3.426185
8.062032,3.439745
7.963160,3.451528
7.863993,3.461572
7.764551,3.469914
7.664857,3.476592
7.564931,3.481643
7.464795,3.485106
7.364471,3.487018
7.263978,3.487416
7.163340,3.486339
7.062577,3.483824
6.961710,3.479909
6.860762,3.474630
6.759752,3.468027
6.658703,3.460137
6.557636,3.450997
6.456572,3.440645
6.355532,3.429119
6.254538,3.416456
6.153612,3.402695
6.052774,3.387872
5.952045,3.372026
5.851448,3.355194
5.751004,3.337414
5.650733,3.318723
5.550658,3.299160
5.450799,3.278761
5.351177,3.257565
5.251815,3.235609
5.152734,3.212931
5.053954,3.189569
4.955498,3.165560
4.857386,3.140942
4.759640,3.115753
4.662281,3.090030
4.565330,3.063811
4.468809,3.037133
4.372740,3.010035
4.277136,2.982541
4.181988,2.954621
4.087277,2.926230
3.992984,2.897325
3.899093,2.867860
3.805584,2.837793
3.712441,2.807079
3.619645,2.775673
3.527178,2.743531
3.435022,2.710610
3.343159,2.676865
3.251571,2.642251
3.160241,2.606725
3.069149,2.570242
2.978279,2.532759
2.887612,2.494230
2.797130,2.454612
2.706816,2.413861
2.616651,2.371932
2.526617,2.328782
2.436696,2.284365
2.346871,2.238638
2.257123,2.191556
2.167434,2.143076
2.077876,2.093110
1.988838,2.041416
1.900785,1.987715
1.814179,1.931731
1.729483,1.873185
1.647161,1.811801
1.567676,1.747299
1.491492,1.679403
1.419070,1.607835
1.350876,1.532318
1.287371,1.452572
1.229018,1.368323
1.176276,1.279603
1.129587,1.187168
1.089390,1.091879
1.056128,0.994596
1.030239,0.896181
1.012165,0.797493
1.002346,0.699392
1.001222,0.602740
1.009235,0.508397
1.026825,0.417223
1.054432,0.330079
1.092496,0.247825
