x_m,y_m,v_mps
9.2509,2.6350,6.182
9.1834,2.7089,6.009
9.1137,2.7807,5.831
9.0416,2.8502,5.649
8.9674,2.9174,5.462
8.8910,2.9820,5.280
8.8124,3.0440,5.107
8.7317,3.1033,4.997
8.6490,3.1596,4.913
8.5643,3.2129,4.835
8.4777,3.2631,4.783
8.3894,3.3102,4.740
8.2994,3.3541,4.727
8.2079,3.3947,4.734
8.1150,3.4320,4.796
8.0209,3.4661,4.876
7.9256,3.4969,4.976
7.8295,3.5246,5.111
7.7324,3.5492,5.247
7.6347,3.5707,5.418
7.5363,3.5893,5.586
7.4375,3.6050,5.748
7.3382,3.6181,5.906
7.2387,3.6284,6.058
7.1389,3.6361,6.206
7.0389,3.6413,6.350
6.9388,3.6443,6.491
6.8388,3.6448,6.627
6.7387,3.6432,6.761
6.6386,3.6394,6.891
6.5387,3.6335,7.019
6.4389,3.6256,7.143
6.3393,3.6158,7.266
6.2399,3.6042,7.385
6.1407,3.5908,7.502
6.0418,3.5757,7.617
5.9431,3.5589,7.730
5.8447,3.5405,7.841
5.7466,3.5207,7.950
5.6488,3.4994,8.056
5.5513,3.4765,8.161
5.4541,3.4525,8.265
5.3573,3.4271,8.366
5.2608,3.4005,8.466
5.1646,3.3728,8.565
5.0688,3.3440,8.662
4.9732,3.3142,8.757
4.8780,3.2834,8.851
4.7830,3.2517,8.944
4.6884,3.2191,9.035
4.5940,3.1857,9.125
4.4999,3.1516,9.214
4.4061,3.1167,9.302
4.3126,3.0808,9.388
4.2193,3.0446,9.474
4.1263,3.0077,9.558
4.0334,2.9703,9.641
3.9408,2.9323,9.723
3.8485,2.8937,9.804
3.7564,2.8545,9.885
3.6645,2.8147,9.964
3.5729,2.7743,10.042
3.4816,2.7333,10.119
3.3906,2.6917,10.196
3.3000,2.6492,10.271
3.2097,2.6060,10.346
3.1196,2.5624,10.420
3.0299,2.5180,10.493
2.9405,2.4728,10.565
2.8516,2.4270,10.637
2.7630,2.3804,10.532
2.6748,2.3330,10.417
2.5869,2.2850,10.302
2.4995,2.2362,10.186
2.4126,2.1866,10.069
2.3261,2.1362,9.951
2.2401,2.0851,9.832
2.1546,2.0331,9.712
2.0696,1.9802,9.591
1.9852,1.9264,9.469
1.9013,1.8717,9.346
1.8183,1.8158,9.222
1.7360,1.7588,9.097
1.6545,1.7007,8.970
1.5741,1.6411,8.842
1.4946,1.5803,8.713
1.4163,1.5179,8.582
1.3395,1.4537,8.450
1.2644,1.3876,8.316
1.1910,1.3194,8.181
