x_m,y_m,v_mps
2.271676,2.446602,3.2937
2.256821,2.545857,3.1537
2.240954,2.644956,3.0168
2.223111,2.743719,2.8863
2.202357,2.841911,2.7683
2.177672,2.939189,2.6688
2.148085,3.035090,2.6031
2.112706,3.129009,2.5520
2.071252,3.220409,2.5070
2.023628,3.308751,2.5019
1.969875,3.393504,2.5019
1.910636,3.474517,2.5149
1.845946,3.551248,2.4867
1.775974,3.623194,2.4817
1.701012,3.689925,2.4561
1.621410,3.751047,2.4128
1.537486,3.806085,2.3601
1.449585,3.854518,2.3554
1.358100,3.895785,2.3554
1.263714,3.929897,2.4005
1.167186,3.957372,2.4735
1.069160,3.978892,2.5627
0.970129,3.995182,2.6623
0.870441,4.006791,2.7644
0.770361,4.014293,2.8698
0.670079,4.018282,2.9791
0.569722,4.019247,3.0896
0.469373,4.017661,3.2013
0.369083,4.013879,3.3123
0.268880,4.008249,3.4228
0.168774,4.001093,3.5326
0.068794,3.992351,3.6362
-0.031023,3.981920,3.7328
-0.130640,3.969720,3.8227
-0.229983,3.955460,3.8989
-0.329004,3.939109,3.9689
-0.427638,3.920571,4.0074
-0.525836,3.899845,3.9444
-0.623491,3.876695,3.8835
-0.720512,3.851020,3.8253
-0.816800,3.822717,3.7697
-0.912245,3.791690,3.7169
-1.006729,3.757850,3.6672
-1.100125,3.721114,3.6275
-1.192281,3.681367,3.5790
-1.283093,3.638641,3.5355
-1.372405,3.592862,3.4995
-1.460050,3.543967,3.4666
-1.545874,3.491942,3.4375
-1.629719,3.436784,3.3996
-1.711454,3.378544,3.3928
-1.790887,3.317202,3.3928
-1.867905,3.252855,3.3938
-1.942453,3.185662,3.4152
-2.014416,3.115707,3.4243
-2.083738,3.043133,3.4312
-2.150382,2.968094,3.4063
-2.214143,2.890589,3.3619
-2.274950,2.810746,3.3119
-2.332666,2.728641,3.2573
-2.387135,2.644347,3.1990
-2.438183,2.557938,3.1379
-2.485611,2.469491,3.0747
-2.529199,2.379089,3.0099
-2.568700,2.286828,2.9443
-2.603841,2.192820,2.8765
-2.634345,2.097207,2.8127
-2.659844,2.000139,2.7487
-2.680014,1.901825,2.6869
-2.694494,1.802514,2.6280
-2.702919,1.702507,2.5726
-2.704933,1.602166,2.5191
-2.700214,1.501915,2.5118
