# x_m, y_m, w_tr_right_m, w_tr_left_m
8.755714, 3.791427, 0.400000, 0.400000
8.748571, 3.870853, 0.400000, 0.400000
8.741429, 3.950280, 0.412311, 0.412311
8.730150, 4.027994, 0.427200, 0.427200
8.715599, 4.104352, 0.430116, 0.430116
8.692726, 4.177264, 0.460977, 0.460977
8.668674, 4.249686, 0.494975, 0.494975
8.636300, 4.318662, 0.531507, 0.531507
8.595604, 4.384191, 0.570088, 0.570088
8.552747, 4.448824, 0.583095, 0.583095
8.514026, 4.515171, 0.604152, 0.604152
8.481179, 4.581795, 0.650000, 0.650000
8.461194, 4.649985, 0.700000, 0.700000
8.449532, 4.721622, 0.696419, 0.696419
8.446192, 4.796707, 0.667083, 0.667083
8.451174, 4.875239, 0.657647, 0.657647
8.458317, 4.954666, 0.626498, 0.626498
8.465460, 5.034092, 0.585235, 0.585235
8.470000, 5.114597, 0.559017, 0.559017
8.468572, 5.196391, 0.538516, 0.538516
8.461429, 5.275818, 0.522015, 0.522015
8.454286, 5.355245, 0.502494, 0.502494
8.447143, 5.434672, 0.500000, 0.500000
8.437680, 5.513137, 0.502494, 0.502494
8.423394, 5.589606, 0.522015, 0.522015
8.407388, 5.665361, 0.492443, 0.492443
8.384488, 5.738261, 0.538516, 0.538516
8.358980, 5.810081, 0.514782, 0.514782
8.322973, 5.873195, 0.540833, 0.540833
8.276636, 5.928019, 0.531507, 0.531507
8.222369, 5.975699, 0.531507, 0.531507
8.161154, 6.013607, 0.514782, 0.514782
8.089891, 6.040458, 0.538516, 0.538516
8.015180, 6.058987, 0.509902, 0.509902
7.937023, 6.069193, 0.502494, 0.502494
7.857596, 6.076336, 0.500000, 0.500000
7.776728, 6.080000, 0.500000, 0.500000
7.695297, 6.082305, 0.550000, 0.550000
7.615870, 6.089447, 0.552268, 0.552268
7.537149, 6.098295, 0.559017, 0.559017
7.460681, 6.112581, 0.585235, 0.585235
7.384213, 6.126866, 0.604152, 0.604152
7.307745, 6.141152, 0.680074, 0.680074
7.234235, 6.148295, 0.696419, 0.696419
7.159771, 6.153133, 0.738241, 0.738241
7.084130, 6.151136, 0.761577, 0.761577
7.009915, 6.142289, 0.776209, 0.776209
6.934025, 6.126607, 0.761577, 0.761577
6.860516, 6.105178, 0.790569, 0.790569
6.789428, 6.077902, 0.761577, 0.761577
6.715919, 6.056474, 0.790569, 0.790569
6.644583, 6.029798, 0.776209, 0.776209
6.573205, 6.003223, 0.790569, 0.790569
6.501620, 5.977147, 0.782624, 0.782624
6.430491, 5.949972, 0.806226, 0.806226
6.356982, 5.928543, 0.776209, 0.776209
6.284009, 5.905819, 0.790569, 0.790569
6.211927, 5.880943, 0.782624, 0.782624
6.139203, 5.857619, 0.764853, 0.764853
6.066873, 5.833343, 0.776209, 0.776209
5.994397, 5.809419, 0.750000, 0.750000
5.921818, 5.785743, 0.751665, 0.751665
5.851268, 5.757172, 0.715891, 0.715891
5.780533, 5.729045, 0.680074, 0.680074
5.708554, 5.703921, 0.707107, 0.707107
5.635478, 5.681445, 0.715891, 0.715891
5.563748, 5.655721, 0.696419, 0.696419
5.490424, 5.633845, 0.715891, 0.715891
5.418942, 5.607521, 0.715891, 0.715891
5.345432, 5.586093, 0.728011, 0.728011
5.272107, 5.564219, 0.696419, 0.696419
5.198598, 5.542791, 0.728011, 0.728011
5.127613, 5.515267, 0.696419, 0.696419
5.054104, 5.493838, 0.728011, 0.728011
4.981204, 5.470938, 0.696419, 0.696419
4.907694, 5.449510, 0.707107, 0.707107
4.834185, 5.428081, 0.667083, 0.667083
4.757716, 5.413795, 0.696419, 0.696419
4.681248, 5.399510, 0.707107, 0.707107
4.601821, 5.392367, 0.696419, 0.696419
4.524177, 5.380921, 0.680074, 0.680074
4.446914, 5.368554, 0.707107, 0.707107
4.367487, 5.361411, 0.700000, 0.700000
4.288060, 5.354268, 0.700000, 0.700000
4.210785, 5.341930, 0.700000, 0.700000
4.134317, 5.327645, 0.750000, 0.750000
4.059752, 5.308764, 0.750000, 0.750000
3.984760, 5.290915, 0.750000, 0.750000
3.911251, 5.269486, 0.776209, 0.776209
3.837793, 5.247934, 0.790569, 0.790569
3.767242, 5.219362, 0.782624, 0.782624
3.694539, 5.195986, 0.806226, 0.806226
3.623988, 5.167415, 0.790569, 0.790569
3.551534, 5.143438, 0.850000, 0.850000
3.483024, 5.120538, 0.848528, 0.848528
3.431947, 5.095735, 0.854400, 0.854400
3.396357, 5.060847, 0.884590, 0.884590
3.369628, 5.021209, 0.832166, 0.832166
3.354669, 4.969802, 0.806226, 0.806226
3.348520, 4.913768, 0.782624, 0.782624
3.354141, 4.845965, 0.761577, 0.761577
3.366232, 4.768588, 0.715891, 0.715891
3.370000, 4.687763, 0.696419, 0.696419
3.370000, 4.605378, 0.667083, 0.667083
3.370421, 4.523166, 0.651920, 0.651920
3.377564, 4.443740, 0.650000, 0.650000
3.384706, 4.364313, 0.650000, 0.650000
3.391849, 4.284886, 0.632456, 0.632456
3.398992, 4.205459, 0.608276, 0.608276
3.406135, 4.126032, 0.600000, 0.600000
3.420421, 4.049564, 0.600000, 0.600000
3.434286, 3.972922, 0.600000, 0.600000
3.441429, 3.893495, 0.600000, 0.600000
3.454048, 3.816336, 0.602080, 0.602080
3.468333, 3.739868, 0.608276, 0.608276
3.482619, 3.663400, 0.585235, 0.585235
3.500002, 3.588215, 0.604152, 0.604152
3.514288, 3.511747, 0.583095, 0.583095
3.535716, 3.438237, 0.602080, 0.602080
3.557145, 3.364728, 0.559017, 0.559017
3.573097, 3.288950, 0.585235, 0.585235
3.592551, 3.214622, 0.559017, 0.559017
3.613980, 3.141113, 0.538516, 0.538516
3.632311, 3.066321, 0.559017, 0.559017
3.653740, 2.992811, 0.538516, 0.538516
3.671994, 2.917987, 0.559017, 0.559017
3.693422, 2.844477, 0.538516, 0.538516
3.718219, 2.772363, 0.509902, 0.509902
3.746170, 2.701555, 0.552268, 0.552268
3.774742, 2.631004, 0.585235, 0.585235
3.803313, 2.560453, 0.559017, 0.559017
3.831884, 2.489903, 0.583095, 0.583095
3.856488, 2.417708, 0.531507, 0.531507
3.877916, 2.344199, 0.540833, 0.540833
3.895976, 2.269294, 0.492443, 0.492443
3.912857, 2.193901, 0.474342, 0.474342
3.927143, 2.117433, 0.502494, 0.502494
3.941429, 2.040964, 0.500000, 0.500000
3.954303, 1.963912, 0.500000, 0.500000
